Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2020-02-24 00:00:01;2020-02-25 00:00:00;2020-02-24;3.3;Y
2020-02-25 00:00:01;2020-02-26 00:00:00;2020-02-25;1.5;Y
2020-02-26 00:00:01;2020-02-27 00:00:00;2020-02-26;0.4;Y
2020-02-27 00:00:01;2020-02-28 00:00:00;2020-02-27;-1.3;Y
2020-02-28 00:00:01;2020-02-29 00:00:00;2020-02-28;1.5;Y
2020-02-29 00:00:01;2020-03-01 00:00:00;2020-02-29;2.9;Y
2020-03-01 00:00:01;2020-03-02 00:00:00;2020-03-01;5.0;Y
2020-03-02 00:00:01;2020-03-03 00:00:00;2020-03-02;5.7;Y
2020-03-03 00:00:01;2020-03-04 00:00:00;2020-03-03;3.4;Y
2020-03-04 00:00:01;2020-03-05 00:00:00;2020-03-04;4.1;Y
2020-03-05 00:00:01;2020-03-06 00:00:00;2020-03-05;3.9;Y
2020-03-06 00:00:01;2020-03-07 00:00:00;2020-03-06;3.4;Y
2020-03-07 00:00:01;2020-03-08 00:00:00;2020-03-07;3.2;Y
2020-03-08 00:00:01;2020-03-09 00:00:00;2020-03-08;6.3;Y
2020-03-09 00:00:01;2020-03-10 00:00:00;2020-03-09;6.8;Y
2020-03-10 00:00:01;2020-03-11 00:00:00;2020-03-10;5.5;Y
2020-03-11 00:00:01;2020-03-12 00:00:00;2020-03-11;7.0;Y
2020-03-12 00:00:01;2020-03-13 00:00:00;2020-03-12;5.0;Y
2020-03-13 00:00:01;2020-03-14 00:00:00;2020-03-13;3.1;Y
2020-03-14 00:00:01;2020-03-15 00:00:00;2020-03-14;0.5;Y
2020-03-15 00:00:01;2020-03-16 00:00:00;2020-03-15;5.6;Y
2020-03-16 00:00:01;2020-03-17 00:00:00;2020-03-16;7.6;Y
2020-03-17 00:00:01;2020-03-18 00:00:00;2020-03-17;6.6;Y
2020-03-18 00:00:01;2020-03-19 00:00:00;2020-03-18;7.2;Y
2020-03-19 00:00:01;2020-03-20 00:00:00;2020-03-19;6.6;Y
2020-03-20 00:00:01;2020-03-21 00:00:00;2020-03-20;4.4;Y
2020-03-21 00:00:01;2020-03-22 00:00:00;2020-03-21;1.5;Y
2020-03-22 00:00:01;2020-03-23 00:00:00;2020-03-22;1.0;Y
2020-03-23 00:00:01;2020-03-24 00:00:00;2020-03-23;3.5;Y
2020-03-24 00:00:01;2020-03-25 00:00:00;2020-03-24;5.0;Y
2020-03-25 00:00:01;2020-03-26 00:00:00;2020-03-25;6.6;Y
2020-03-26 00:00:01;2020-03-27 00:00:00;2020-03-26;5.8;Y
2020-03-27 00:00:01;2020-03-28 00:00:00;2020-03-27;4.5;Y
2020-03-28 00:00:01;2020-03-29 00:00:00;2020-03-28;4.9;Y
2020-03-29 00:00:01;2020-03-30 00:00:00;2020-03-29;2.2;Y
2020-03-30 00:00:01;2020-03-31 00:00:00;2020-03-30;3.6;Y
2020-03-31 00:00:01;2020-04-01 00:00:00;2020-03-31;3.7;Y
2020-04-01 00:00:01;2020-04-02 00:00:00;2020-04-01;6.8;Y
2020-04-02 00:00:01;2020-04-03 00:00:00;2020-04-02;6.3;Y
2020-04-03 00:00:01;2020-04-04 00:00:00;2020-04-03;5.5;Y
2020-04-04 00:00:01;2020-04-05 00:00:00;2020-04-04;5.5;Y
2020-04-05 00:00:01;2020-04-06 00:00:00;2020-04-05;9.7;Y
2020-04-06 00:00:01;2020-04-07 00:00:00;2020-04-06;11.5;Y
2020-04-07 00:00:01;2020-04-08 00:00:00;2020-04-07;9.3;Y
2020-04-08 00:00:01;2020-04-09 00:00:00;2020-04-08;9.5;Y
2020-04-09 00:00:01;2020-04-10 00:00:00;2020-04-09;7.6;Y
2020-04-10 00:00:01;2020-04-11 00:00:00;2020-04-10;5.7;Y
2020-04-11 00:00:01;2020-04-12 00:00:00;2020-04-11;4.5;Y
2020-04-12 00:00:01;2020-04-13 00:00:00;2020-04-12;7.8;Y
2020-04-13 00:00:01;2020-04-14 00:00:00;2020-04-13;5.2;Y
2020-04-14 00:00:01;2020-04-15 00:00:00;2020-04-14;5.3;Y
2020-04-15 00:00:01;2020-04-16 00:00:00;2020-04-15;8.6;Y
2020-04-16 00:00:01;2020-04-17 00:00:00;2020-04-16;9.3;Y
2020-04-17 00:00:01;2020-04-18 00:00:00;2020-04-17;7.0;Y
2020-04-18 00:00:01;2020-04-19 00:00:00;2020-04-18;6.9;Y
2020-04-19 00:00:01;2020-04-20 00:00:00;2020-04-19;8.4;Y
2020-04-20 00:00:01;2020-04-21 00:00:00;2020-04-20;11.3;Y
2020-04-21 00:00:01;2020-04-22 00:00:00;2020-04-21;14.2;Y
2020-04-22 00:00:01;2020-04-23 00:00:00;2020-04-22;13.3;Y
2020-04-23 00:00:01;2020-04-24 00:00:00;2020-04-23;12.5;Y
2020-04-24 00:00:01;2020-04-25 00:00:00;2020-04-24;10.7;Y
2020-04-25 00:00:01;2020-04-26 00:00:00;2020-04-25;10.1;Y
2020-04-26 00:00:01;2020-04-27 00:00:00;2020-04-26;8.6;Y
2020-04-27 00:00:01;2020-04-28 00:00:00;2020-04-27;7.8;Y
2020-04-28 00:00:01;2020-04-29 00:00:00;2020-04-28;7.1;Y
2020-04-29 00:00:01;2020-04-30 00:00:00;2020-04-29;7.7;Y
2020-04-30 00:00:01;2020-05-01 00:00:00;2020-04-30;6.7;Y
2020-05-01 00:00:01;2020-05-02 00:00:00;2020-05-01;8.3;Y
2020-05-02 00:00:01;2020-05-03 00:00:00;2020-05-02;8.7;Y
